coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,average_profit,number_of_loss_order,average_loss,avarage_pnl_per_month
matic,1041.6666666666665,491.47638215819336,9,9.5,211,76,16.25140327264857,135,-5.508372344911833,14.154519806155971
matic,1041.6666666666665,560.8952474841748,9,10.0,195,73,17.3216102372444,122,-5.7670680314316884,16.153783127544237
matic,1041.6666666666665,535.6915124408642,9,10.5,183,67,18.194149798463783,116,-5.890659690139733,15.427915558296894
matic,1041.6666666666665,530.6542755659729,9,11.0,168,66,17.497121340142957,102,-6.119173851798652,15.28284313630002
matic,1041.6666666666665,494.02869798950786,9,11.5,161,60,18.725730192240587,101,-6.23282290638542,14.228026502097828
matic,1041.6666666666665,492.8762439222322,9,12.0,150,58,19.196257934900217,92,-6.744638220673702,14.194835824960292
matic,1041.6666666666665,555.7021288142081,9,12.5,137,56,19.35594088204522,81,-6.521364945436107,16.004221309849196
matic,1041.6666666666665,642.2442281308734,9,13.0,126,55,19.63327250853063,71,-6.163179716032554,18.496633770169158
matic,1041.6666666666665,672.7862213742342,9,13.5,120,52,21.010925174210517,68,-6.1732630541869495,19.376243175577947
matic,1041.6666666666665,703.9008846182788,9,14.0,115,47,23.68426380934241,68,-6.018522270894337,20.272345477006436
matic,1041.6666666666665,699.8085860483544,9,14.5,108,47,22.859247287709447,61,-6.140590761868682,20.15448727819261
matic,1041.6666666666665,678.0686393593554,9,15.0,105,45,23.580056845947055,60,-6.383898645137705,19.528376813549436
matic,1041.6666666666665,633.3184410654171,9,15.5,101,43,23.844367646990044,58,-6.758437375088871,18.239571102684017
matic,1041.6666666666665,683.2280254688229,9,16.0,94,41,24.704971173211177,53,-6.220297974204444,19.676967133502103
matic,1041.6666666666665,679.1731348315723,9,16.5,90,38,26.93947442619577,52,-6.625517180074366,19.560186283149285
matic,1041.6666666666665,665.494585623785,9,17.0,87,37,27.045628111242692,50,-6.703873089843892,19.166244065965014
matic,1041.6666666666665,663.5462097684577,9,17.5,83,36,26.977628737714284,47,-6.545711165728863,19.110130841331586
matic,1041.6666666666665,766.821481609685,9,18.0,77,33,32.26389730539689,44,-6.770162033373007,22.08445867035893
matic,1041.6666666666665,730.660548747644,9,18.5,75,32,32.22937806159997,43,-6.992547656361748,21.04302380393215
matic,1041.6666666666665,711.6458190806488,9,19.0,73,30,33.8843757671377,43,-7.090359393801918,20.495399589522687
matic,1041.6666666666665,669.2541705138626,9,19.5,72,28,35.82471189340204,44,-7.587221875031699,19.274520110799244
matic,1041.6666666666665,649.1750459448153,9,20.0,70,28,35.143683743803514,42,-7.972573782897215,18.696241323210685
matic,1041.6666666666665,98.64471584256593,10,4.0,782,253,7.054965019533377,529,-3.1876397620026053,2.8409678162658993
matic,1041.6666666666665,140.58584943535124,10,4.5,647,217,7.764506093412952,430,-3.5914231926401388,4.048872463738117
matic,1041.6666666666665,261.18342284166613,10,5.0,548,182,9.031318871594388,366,-3.777367791771893,7.522082577839985
matic,1041.6666666666665,394.9849396019388,10,5.5,470,161,9.667672401284829,309,-3.7589330647408374,11.375566260535837
matic,1041.6666666666665,376.02576362253996,10,6.0,411,138,10.882719912039267,273,-4.1237713708383845,10.829541992329151
matic,1041.6666666666665,393.7864506686047,10,6.5,363,123,11.894781619976664,240,-4.455298702452188,11.341049779255817
matic,1041.6666666666665,407.9281484911816,10,7.0,330,113,12.616543568517075,217,-4.690051957379024,11.748330676546033
matic,1041.6666666666665,537.3073583813531,10,7.5,287,103,13.84788117284207,184,-4.8316543609857625,15.47445192138297
matic,1041.6666666666665,507.7819510255966,10,8.0,262,96,13.915884203139173,166,-4.988812846239545,14.624120189537184
matic,1041.6666666666665,504.6522705663251,10,8.5,243,88,14.978590195693455,155,-5.248152688094832,14.533985392310166
matic,1041.6666666666665,502.0902914361739,10,9.0,223,79,16.28222800789243,144,-5.445873063800887,14.460200393361811
matic,1041.6666666666665,497.36208408919134,10,9.5,209,74,17.015692611156553,135,-5.642956808417727,14.324028021768713
matic,1041.6666666666665,554.9664852925841,10,10.0,189,70,17.95894766996431,119,-5.900502954663168,15.983034776426427
matic,1041.6666666666665,541.161111502435,10,10.5,179,69,17.691168286897636,110,-6.177540911759109,15.585440011270132
matic,1041.6666666666665,518.3343534500269,10,11.0,167,62,18.603520911869012,105,-6.048418505579542,14.928029379360778
matic,1041.6666666666665,548.8736221202371,10,11.5,153,60,18.935926713896233,93,-6.314860007672441,15.807560317062832
matic,1041.6666666666665,532.0820149546031,10,12.0,144,60,18.421201184239447,84,-6.823691144044806,15.323962030692574
matic,1041.6666666666665,559.5940669013568,10,12.5,133,53,20.10999701392346,80,-6.327947185457333,16.116309126759077
matic,1041.6666666666665,643.764617812334,10,13.0,124,52,21.15105298477905,72,-6.334585241613561,18.540420992995223
matic,1041.6666666666665,691.9971539649737,10,13.5,117,50,22.28180648380312,67,-6.299898063062424,19.929518034191243
matic,1041.6666666666665,719.0608152960124,10,14.0,110,50,22.051058226976302,60,-6.391534934213382,20.708951480525158
matic,1041.6666666666665,696.3922523875126,10,14.5,106,46,23.20977678682953,60,-6.187624663444091,20.056096868760367
matic,1041.6666666666665,689.795370018436,10,15.0,99,42,25.32253265571971,57,-6.557035114417406,19.866106656530956
matic,1041.6666666666665,655.4986195637091,10,15.5,97,39,26.01160109256241,58,-6.188859018038363,18.878360243434827
matic,1041.6666666666665,641.1387671296525,10,16.0,94,38,25.760372013012162,56,-6.031345881514466,18.464796493333992
matic,1041.6666666666665,692.0261709426695,10,16.5,86,37,27.240848197432843,49,-6.446636986986644,19.930353723148883
matic,1041.6666666666665,688.9548619322378,10,17.0,82,36,27.204470772572545,46,-6.313175780008129,19.841900023648453
matic,1041.6666666666665,676.1336713046354,10,17.5,78,35,27.218345367819634,43,-6.430428292303528,19.472649733573505
matic,1041.6666666666665,759.6283234361389,10,18.0,74,33,31.573903416298485,41,-6.885621690285634,21.877295714960805
matic,1041.6666666666665,734.1209183403658,10,18.5,72,31,32.84307816919029,41,-6.927183046452031,21.14268244820254
matic,1041.6666666666665,702.599651204914,10,19.0,71,30,33.60436362822877,41,-7.451981893706081,20.234869954701526
matic,1041.6666666666665,645.0122196145832,10,19.5,70,28,35.04022375401156,42,-8.002715368993831,18.5763519249
matic,1041.6666666666665,635.760287609692,10,20.0,69,27,35.90683264985579,42,-7.945814141343199,18.309896283159134
matic,1041.6666666666665,109.4462612902495,11,4.0,777,251,7.169147373069167,526,-3.2129462535173228,3.152052325159186
matic,1041.6666666666665,220.33532180086928,11,4.5,641,217,7.837302408455558,424,-3.491413445363176,6.345657267865036
matic,1041.6666666666665,244.8182895389792,11,5.0,542,183,8.748457620818318,359,-3.7775750837625988,7.050766738722602
matic,1041.6666666666665,382.0297677102698,11,5.5,462,157,10.007930057720326,305,-3.8990663978748237,11.002457310055773
matic,1041.6666666666665,365.5435924436118,11,6.0,406,140,10.555323240791397,266,-4.181209252884149,10.527655462376021
matic,1041.6666666666665,381.1835437650698,11,6.5,362,118,11.940413857784806,244,-4.21223480103909,10.978086060434013
matic,1041.6666666666665,419.6537920353259,11,7.0,320,108,13.15784914236278,212,-4.723556204433277,12.086029210617388
matic,1041.6666666666665,514.8017625054633,11,7.5,285,103,13.688053738839747,182,-4.917954794478194,14.826290760157347
matic,1041.6666666666665,490.9692886940191,11,8.0,256,95,13.963549319999428,161,-5.189862712459173,14.139915514387752
matic,1041.6666666666665,485.67814056855696,11,8.5,239,89,14.483397597949702,150,-5.3556283043264425,13.987530448374441
matic,1041.6666666666665,528.7881670913815,11,9.0,218,75,17.178884501510563,143,-5.312085108544831,15.229099212231791
matic,1041.6666666666665,515.4484920912421,11,9.5,202,70,17.749642006935364,132,-5.5077761241987355,14.844916572227774
matic,1041.6666666666665,560.6461173510696,11,10.0,188,70,17.986824379099158,118,-5.918911772761625,16.146608179710807
matic,1041.6666666666665,531.6414940370684,11,10.5,177,67,18.08106141309672,110,-6.179905642185567,15.311275028267573
matic,1041.6666666666665,533.8933697810962,11,11.0,163,62,18.66247655860466,101,-6.170100760914781,15.376129049695574
matic,1041.6666666666665,582.4010772208655,11,11.5,148,61,18.373699908468456,87,-6.188443875812756,16.77315102396093
matic,1041.6666666666665,551.6015525008401,11,12.0,141,57,19.19756183300969,84,-6.460231809294193,15.886124712024197
matic,1041.6666666666665,611.7862615500318,11,12.5,130,52,21.205683962258128,78,-6.293709031889626,17.619444332640917
matic,1041.6666666666665,670.9256929865545,11,13.0,120,52,21.262571086728315,68,-6.393058875342908,19.32265995801277
matic,1041.6666666666665,688.7560867356354,11,13.5,115,50,22.25773281799232,65,-6.52508544867663,19.836175297986305
matic,1041.6666666666665,706.9323790061927,11,14.0,108,48,22.68302339014369,60,-6.364212395345074,20.359652515378354
matic,1041.6666666666665,693.9855068497814,11,14.5,103,45,23.849700165169786,58,-6.53881035487688,19.986782597273706
matic,1041.6666666666665,705.6077319030613,11,15.0,97,40,26.442102906916396,57,-6.176778673220957,20.32150267880817
matic,1041.6666666666665,699.0913428722978,11,15.5,93,39,26.492205194926726,54,-6.187123328330449,20.13383067472218
matic,1041.6666666666665,694.8462192875303,11,16.0,87,38,26.07415232548673,49,-6.040236103693178,20.011571115480876
matic,1041.6666666666665,716.8187424151381,11,16.5,82,36,27.674575643985396,46,-6.075347408007315,20.644379781555983
matic,1041.6666666666665,701.6807392494796,11,17.0,78,36,27.051342177508573,42,-6.480180455734029,20.208405290385016
matic,1041.6666666666665,685.9747698810125,11,17.5,75,35,27.115547625377896,40,-6.576734925180344,19.756073372573162
matic,1041.6666666666665,758.1041541930973,11,18.0,71,33,30.726448285505356,38,-6.7333852428573495,21.833399640761208
matic,1041.6666666666665,733.6902848939415,11,18.5,70,29,34.876202059257686,41,-6.773648166451989,21.130280204945517
matic,1041.6666666666665,688.4095321483109,11,19.0,69,26,38.4062559045452,43,-7.212863287671265,19.826194525871355
matic,1041.6666666666665,644.764989939461,11,19.5,69,26,37.612467784145046,43,-7.747887731356058,18.569231710256478
matic,1041.6666666666665,613.3804447222785,11,20.0,69,27,35.45346305792097,42,-8.187215662894943,17.665356808001626
matic,1041.6666666666665,96.83193795108473,12,4.0,780,256,7.089015056092471,524,-3.2785418252072285,2.7887598129912403
matic,1041.6666666666665,191.55687269813194,12,4.5,644,215,7.867759610908356,429,-3.496530171671712,5.516837933706201
matic,1041.6666666666665,258.0546737225402,12,5.0,543,179,8.98201192763115,364,-3.708036981657791,7.4319746032091585
matic,1041.6666666666665,331.8153738511741,12,5.5,459,159,9.617128245941482,300,-3.991026724178405,9.556282766913816
matic,1041.6666666666665,468.3384613870169,12,6.0,390,137,10.833940856052054,253,-4.015460220917449,13.488147687946087
matic,1041.6666666666665,375.61505924796546,12,6.5,360,123,11.304388955838489,237,-4.281961106836157,10.817713706341408
matic,1041.6666666666665,374.87911178826715,12,7.0,321,107,13.045908413558806,214,-4.771182656366941,10.796518419502096
matic,1041.6666666666665,467.2872608282186,12,7.5,285,100,13.894533886409612,185,-4.984681771960769,13.457873111852699
matic,1041.6666666666665,471.3222954868238,12,8.0,258,91,14.530365551919363,167,-5.0954549086098115,13.574082110020528
matic,1041.6666666666665,443.9519201882623,12,8.5,236,84,15.082514708697865,152,-5.414337600936569,12.785815301421955
matic,1041.6666666666665,528.0239662231485,12,9.0,215,75,16.816174746257637,140,-5.237065283901242,15.207090227226677
matic,1041.6666666666665,506.62228790313304,12,9.5,200,70,17.519441216301082,130,-5.536450747984173,14.590721891610235
matic,1041.6666666666665,542.3270269001539,12,10.0,187,70,17.618087449795205,117,-5.905462346884704,15.619018374724433
matic,1041.6666666666665,432.47848874777026,12,10.5,176,62,18.260074151822906,114,-6.137246567239036,12.455380475935785
matic,1041.6666666666665,550.9396984294445,12,11.0,159,60,19.234618350963668,99,-6.09229699624622,15.867063314768007
matic,1041.6666666666665,567.9729063673473,12,11.5,147,59,19.14756836826461,88,-6.383336674548465,16.3576197033796
matic,1041.6666666666665,519.5120761385368,12,12.0,139,55,19.383836568917967,84,-6.507130180380373,14.961947792789863
matic,1041.6666666666665,620.8019035760568,12,12.5,126,52,20.95107047107728,74,-6.3331589313508365,17.87909482299044
matic,1041.6666666666665,663.4580230635305,12,13.0,117,53,20.44836938948803,64,-6.567274290302114,19.10759106422968
matic,1041.6666666666665,683.1112123593533,12,13.5,112,48,22.69856783632712,64,-6.350313184130444,19.673602915949377
matic,1041.6666666666665,679.4147558633989,12,14.0,106,46,23.057300661968913,60,-6.353684576452846,19.567144968865893
matic,1041.6666666666665,738.5261320067134,12,14.5,99,42,25.583882069784252,57,-5.894682717968865,21.26955260179335
matic,1041.6666666666665,735.4991305249097,12,15.0,94,40,26.294136001117515,54,-5.85678350962576,21.1823749591174
matic,1041.6666666666665,727.8026682313639,12,15.5,89,40,25.502368213045465,49,-5.965144087560298,20.96071684506328
matic,1041.6666666666665,705.4654116926041,12,16.0,82,38,25.70332476754744,44,-6.165021124413608,20.317403856747003
matic,1041.6666666666665,684.5996424541192,12,16.5,80,35,27.98226195925308,45,-6.550656135994194,19.716469702678637
matic,1041.6666666666665,685.4688001920916,12,17.0,75,35,26.999267454589162,40,-6.487639017963232,19.74150144553224
matic,1041.6666666666665,675.3264994247967,12,17.5,72,34,27.491877765272715,38,-6.826245910380941,19.44940318343415
matic,1041.6666666666665,737.5148348803176,12,18.0,70,30,33.91869846180842,40,-7.001152974348377,21.240427244553153
matic,1041.6666666666665,703.2392316812399,12,18.5,69,29,34.422176855442345,40,-7.375097428164709,20.25328987241971
matic,1041.6666666666665,656.017543867845,12,19.0,69,27,36.43999298779129,42,-7.80624444767905,18.89330526339394
matic,1041.6666666666665,611.5883493197326,12,19.5,69,27,35.38535760532796,42,-8.186102524383859,17.613744460408302
matic,1041.6666666666665,589.9619522600683,12,20.0,68,26,36.21243490411195,42,-8.370508458258158,16.99090422508997
matic,1041.6666666666665,108.36154912243246,13,4.0,776,256,7.096260911075182,520,-3.2851562386784887,3.1208126147260553
matic,1041.6666666666665,192.95030577570455,13,4.5,641,217,7.733803803054106,424,-3.5030309421864074,5.556968806340292
matic,1041.6666666666665,260.85622481304375,13,5.0,540,183,8.725651583857736,357,-3.742123291408744,7.512659274615662
matic,1041.6666666666665,313.8398569033498,13,5.5,463,153,9.942416458991051,310,-3.8946769720073577,9.038587878816475
matic,1041.6666666666665,473.93994928970744,13,6.0,390,139,10.494689526643667,251,-3.923593206827737,13.649470539543577
matic,1041.6666666666665,330.40044650577795,13,6.5,359,126,10.896666904216017,233,-4.474590486804467,9.515532859366406
matic,1041.6666666666665,435.24552463018784,13,7.0,316,108,13.0925359085753,208,-4.705520930268964,12.535071109349412
matic,1041.6666666666665,400.97265246848923,13,7.5,287,98,13.812592839235554,189,-5.0405367501407135,11.548012391092492
matic,1041.6666666666665,415.6276520291212,13,8.0,257,89,14.354018751845745,168,-5.130238195744941,11.97007637843869
matic,1041.6666666666665,427.33090105935105,13,8.5,233,82,15.401227616584265,151,-5.533574592718931,12.307129950509312
matic,1041.6666666666665,503.715636951222,13,9.0,211,76,16.29714190999593,135,-5.443460357099767,14.507010344195194
matic,1041.6666666666665,548.7438734144546,13,9.5,194,72,17.162528066391477,122,-5.63080448660436,15.803823554336295
matic,1041.6666666666665,562.2915603431294,13,10.0,182,69,18.14828185060329,113,-6.1056627198982065,16.19399693788213
matic,1041.6666666666665,527.7682963262992,13,10.5,167,59,20.044911178284888,108,-6.063717251782494,15.199726934197418
matic,1041.6666666666665,506.00783884778195,13,11.0,159,57,19.869119534318,102,-6.142470339297493,14.573025758816122
matic,1041.6666666666665,548.6883317653613,13,11.5,144,56,19.526943987993366,88,-6.191142404116667,15.80222395484241
matic,1041.6666666666665,590.1436536789017,13,12.0,134,54,20.57285410385285,80,-6.5098808491144045,16.99613722595237
matic,1041.6666666666665,618.0140327437742,13,12.5,124,52,20.804862044353605,72,-6.442205466147404,17.7988041430207
matic,1041.6666666666665,643.7801187244228,13,13.0,117,53,20.083944067113514,64,-6.572951825509277,18.54086741926338
matic,1041.6666666666665,702.8092054435446,13,13.5,110,49,22.15054443171757,61,-6.271597896895351,20.240905116774087
matic,1041.6666666666665,703.1164704345925,13,14.0,104,45,24.00893149042276,59,-6.394668587024266,20.249754348516266
matic,1041.6666666666665,708.4456022327504,13,14.5,99,42,24.809828728131407,57,-5.852056216645064,20.403233344303214
matic,1041.6666666666665,715.3408490545766,13,15.0,92,40,25.650768612876494,52,-5.974805681932371,20.601816452771807
matic,1041.6666666666665,709.8384171568016,13,15.5,86,38,26.861355343161666,48,-6.476939289236284,20.44334641411589
matic,1041.6666666666665,678.0837306770321,13,16.0,82,36,26.81524292516671,46,-6.244891622368904,19.52881144349853
matic,1041.6666666666665,674.4550740906348,13,16.5,77,35,27.368275066068634,42,-6.748441743375419,19.424306133810283
matic,1041.6666666666665,645.0496471459234,13,17.0,74,34,27.205160929908054,40,-6.998145611773765,18.577429837802597
matic,1041.6666666666665,619.3881569536926,13,17.5,71,33,27.012449946882175,38,-7.158491876142608,17.838378920266347
matic,1041.6666666666665,703.9380640229331,13,18.0,69,28,35.41179095444274,41,-7.01444104149912,20.273416243860474
matic,1041.6666666666665,667.4885516802265,13,18.5,69,27,36.13820801546553,42,-7.339120588984351,19.223670288390526
matic,1041.6666666666665,633.1525880258492,13,19.0,69,27,35.8755819288637,42,-7.98781247746359,18.23479453514446
matic,1041.6666666666665,585.1647073429461,13,19.5,68,27,34.73947790685945,41,-8.604907222981929,16.85274357147685
matic,1041.6666666666665,632.840586552717,13,20.0,65,26,36.55168290655694,39,-8.141106897891369,18.225808892718252
matic,1041.6666666666665,129.77276418902076,14,4.0,771,259,7.072846664924491,512,-3.3244033633328565,3.737455608643798
matic,1041.6666666666665,215.4190027137627,14,4.5,636,219,7.675377647812609,417,-3.514361396060428,6.204067278156367
matic,1041.6666666666665,268.2896937785471,14,5.0,538,183,8.761626668778021,355,-3.7608112298812135,7.726743180822158
matic,1041.6666666666665,328.4718182199144,14,5.5,460,155,9.79425227286985,305,-3.900450111721025,9.459988364733535
matic,1041.6666666666665,444.24019982389933,14,6.0,394,134,10.964691253654376,260,-3.9424170314068725,12.794117754928303
matic,1041.6666666666665,363.19013837518474,14,6.5,353,124,11.319917867475564,229,-4.543579376383341,10.459875985205322
matic,1041.6666666666665,461.4335151944094,14,7.0,311,109,12.924563650080863,202,-4.689821399328737,13.289285237598992
matic,1041.6666666666665,419.22108965792694,14,7.5,281,94,14.23009037058309,187,-4.911269546400446,12.073567382148298
matic,1041.6666666666665,440.74694625078587,14,8.0,251,89,14.451628526172172,162,-5.218814769003319,12.693512052022633
matic,1041.6666666666665,423.99726318820507,14,8.5,232,81,15.53843084655165,151,-5.527255863460121,12.211121179820307
matic,1041.6666666666665,500.2413657750922,14,9.0,210,76,16.477391059823912,134,-5.612241453518845,14.406951334322658
matic,1041.6666666666665,520.2422278507615,14,9.5,195,70,17.30907214083346,125,-5.531142576060645,14.982976162101934
matic,1041.6666666666665,490.6947648086578,14,10.0,180,66,17.836230338848516,114,-6.021898575046878,14.132009226489346
matic,1041.6666666666665,469.49805135311374,14,10.5,169,63,18.438320448831856,106,-6.529397518144276,13.521543878969677
matic,1041.6666666666665,546.9839099339213,14,11.0,152,56,20.476391410691242,96,-6.246812594424877,15.753136606096934
matic,1041.6666666666665,531.6282785402276,14,11.5,141,55,19.561210188339675,86,-6.328352114168076,15.310894421958556
matic,1041.6666666666665,521.9691231281219,14,12.0,134,55,18.932724519547264,79,-6.573806651227561,15.032710746089911
matic,1041.6666666666665,608.0176879520113,14,12.5,123,53,20.18336764707805,70,-6.595725676330361,17.510909413017927
matic,1041.6666666666665,678.999272823986,14,13.0,115,53,20.041960500651435,62,-6.181042479202262,19.555179057330797
matic,1041.6666666666665,709.7743617730528,14,13.5,108,46,23.876965198308618,62,-6.267194150792646,20.441501619063924
matic,1041.6666666666665,719.5606832061445,14,14.0,101,43,24.97597184072918,58,-6.110450102503626,20.723347676336967
matic,1041.6666666666665,711.2449263353641,14,14.5,97,42,24.632770041735036,55,-5.8787530075910475,20.48385387845849
matic,1041.6666666666665,708.9169336848629,14,15.0,91,39,26.1734165052728,52,-5.997044423476468,20.416807690124056
matic,1041.6666666666665,682.5518354188423,14,15.5,85,37,26.8869030479913,48,-6.505491194934081,19.65749286006266
matic,1041.6666666666665,666.3158174703378,14,16.0,81,36,26.586709901336565,45,-6.4623497550617435,19.18989554314573
matic,1041.6666666666665,653.8459807675556,14,16.5,76,34,27.25224046140895,42,-6.493576069532115,18.830764246105606
matic,1041.6666666666665,632.4652902075666,14,17.0,73,33,27.75217944066066,40,-7.083915783355886,18.21500035797792
matic,1041.6666666666665,597.9129102187883,14,17.5,72,32,27.83335053837114,40,-7.318857675227209,17.219891814301107
matic,1041.6666666666665,682.7759531354517,14,18.0,69,27,36.48907617006906,42,-7.200692939438403,19.66394745030101
matic,1041.6666666666665,659.014662654748,14,18.5,69,27,36.308090504622534,42,-7.650090023096676,18.979622284456745
matic,1041.6666666666665,621.3541866071253,14,19.0,68,27,35.633725787355274,41,-8.311131942718712,17.89500057428521
matic,1041.6666666666665,573.400176762217,14,19.5,67,26,35.65137201716301,41,-8.62281696790296,16.51392509075185
matic,1041.6666666666665,632.0786657446773,14,20.0,65,27,34.83451637121438,38,-8.117191481002918,18.20386557344671
matic,1041.6666666666665,107.33731214084642,15,4.0,765,257,7.047243445438541,508,-3.353945380584368,3.091314589656377
matic,1041.6666666666665,162.15215822946544,15,4.5,641,218,7.474951000919808,423,-3.469000378182157,4.669982157008605
matic,1041.6666666666665,263.9298750884537,15,5.0,532,187,8.366882037806022,345,-3.7700784521196304,7.601180402547468
matic,1041.6666666666665,275.6264301890398,15,5.5,460,152,10.031338094691147,308,-4.055639481181865,7.938041189444347
matic,1041.6666666666665,415.3655929849578,15,6.0,391,134,10.671802090999803,257,-3.948077382136247,11.962529077966785
matic,1041.6666666666665,387.0220025454296,15,6.5,348,124,11.290572862971363,224,-4.522361752067051,11.146233673308375
matic,1041.6666666666665,392.10903451130963,15,7.0,314,107,12.65289165202709,207,-4.646137064036664,11.29274019392572
matic,1041.6666666666665,423.9255948703201,15,7.5,278,95,13.923863727846104,183,-4.911701963251694,12.209057132265219
matic,1041.6666666666665,415.3071080493364,15,8.0,253,87,14.76140638870545,166,-5.234549685349624,11.960844711820892
matic,1041.6666666666665,421.72529107339335,15,8.5,230,79,15.651024146760713,151,-5.395401433911943,12.145688382913729
matic,1041.6666666666665,477.5087854849912,15,9.0,210,75,16.663952888989215,135,-5.720649490290373,13.752253021967748
matic,1041.6666666666665,520.6871138728343,15,9.5,192,70,17.433760298061806,122,-5.735050057307311,14.99578887953763
matic,1041.6666666666665,513.3467802634685,15,10.0,176,62,19.1940060742858,114,-5.935803476686408,14.784387271587896
matic,1041.6666666666665,527.2552732522125,15,10.5,160,56,20.84001089722175,104,-6.151782086463507,15.184951869663724
matic,1041.6666666666665,551.9715220367252,15,11.0,150,56,20.504778292750505,94,-6.343575131460672,15.896779834657687
matic,1041.6666666666665,525.0576914523059,15,11.5,141,56,19.100859507383323,85,-6.406946364248943,15.121661513826414
matic,1041.6666666666665,537.212929755685,15,12.0,131,55,18.662851305651156,76,-6.437419632304315,15.471732376963729
matic,1041.6666666666665,644.4172234913609,15,12.5,119,52,20.529897056144325,67,-6.315483931763346,18.559216036551195
matic,1041.6666666666665,684.3469880208667,15,13.0,114,50,21.96329842566054,64,-6.465905207221251,19.70919325500096
matic,1041.6666666666665,696.2590825028149,15,13.5,107,44,24.700766683113667,63,-6.199597643717245,20.052261576081072
matic,1041.6666666666665,710.18032509636,15,14.0,100,43,24.829356579069827,57,-6.271614171993729,20.45319336277517
matic,1041.6666666666665,644.9105743714645,15,14.5,98,39,26.212886245273914,59,-6.396474393122347,18.57342454189818
matic,1041.6666666666665,692.3636568511467,15,15.0,89,38,26.371777857874516,51,-6.073801995060483,19.94007331731303
matic,1041.6666666666665,644.2740769098841,15,15.5,86,36,26.76383495401239,50,-6.3844796286912375,18.555093415004666
matic,1041.6666666666665,630.7036072469567,15,16.0,81,36,25.838107875925775,45,-6.6548505841415935,18.164263888712355
matic,1041.6666666666665,648.1186906296612,15,16.5,76,35,26.402335813355883,41,-6.730806410677926,18.665818290134244
matic,1041.6666666666665,636.3793283859169,15,17.0,72,32,28.60505020961873,40,-6.974556958047069,18.32772465751441
matic,1041.6666666666665,678.976482873812,15,17.5,71,29,33.96978715877186,42,-7.289222493585046,19.554522706765788
matic,1041.6666666666665,669.7977020109216,15,18.0,70,29,33.69163629131872,41,-7.4941402545688165,19.290173817914546
matic,1041.6666666666665,633.8310442029812,15,18.5,68,26,37.257727389994244,42,-7.973092093734981,18.25433407304586
matic,1041.6666666666665,604.9037311998012,15,19.0,68,26,36.78890989192277,42,-8.371617285480731,17.421227458554277
matic,1041.6666666666665,632.3830493196,15,19.5,66,27,36.03475028228608,39,-8.732184828259594,18.212631820404482
matic,1041.6666666666665,703.4298290688105,15,20.0,64,26,39.303508885738964,38,-8.380563209484274,20.258779077181746
matic,1041.6666666666665,13.836399007667302,16,4.0,773,256,6.797727233144691,517,-3.339229734385636,0.3984882914208184
matic,1041.6666666666665,189.36061318928284,16,4.5,636,218,7.538462623720868,418,-3.4785268870379573,5.453585659851347
matic,1041.6666666666665,261.5625787134474,16,5.0,535,184,8.476510992121788,351,-3.698334597826102,7.533002266947286
matic,1041.6666666666665,330.7805912245602,16,5.5,456,154,10.031460897778882,302,-4.020080751766185,9.526481027267337
matic,1041.6666666666665,449.34764073724824,16,6.0,385,135,10.722381836110563,250,-3.992695628550712,12.941212053232752
matic,1041.6666666666665,384.46054545701645,16,6.5,348,121,11.503859728940359,227,-4.43835454513113,11.072463709162076
matic,1041.6666666666665,421.6395021446472,16,7.0,310,106,12.706588885784985,204,-4.5355829399439305,12.14321766176584
matic,1041.6666666666665,406.4161199749989,16,7.5,279,97,13.649353480277709,182,-5.04159982204362,11.70478425527997
matic,1041.6666666666665,416.4094002716867,16,8.0,251,85,15.092003248787593,166,-5.21934262575457,11.99259072782458
matic,1041.6666666666665,434.92485611003593,16,8.5,229,80,15.659217445535456,149,-5.488674761965105,12.525835855969037
matic,1041.6666666666665,469.3142726935633,16,9.0,209,74,16.624893816748553,135,-5.636502738857995,13.516251053574624
matic,1041.6666666666665,532.9910470354537,16,9.5,187,69,17.54533788992879,118,-5.74268870652231,15.35014215462107
matic,1041.6666666666665,480.1970019701768,16,10.0,173,63,18.33412863259272,110,-6.135028198937859,13.829673656741095
matic,1041.6666666666665,565.9318365820546,16,10.5,156,56,21.00762254440141,100,-6.10495025904424,16.298836893563177
matic,1041.6666666666665,513.6760251376642,16,11.0,151,54,20.918009152293035,97,-6.349448134908864,14.79386952396473
matic,1041.6666666666665,503.2302481013765,16,11.5,142,56,19.026636260232287,86,-6.5379230519957146,14.493031145319646
matic,1041.6666666666665,598.2729737424147,16,12.0,128,52,21.08709029883774,76,-6.555996339436155,17.230261643781546
matic,1041.6666666666665,638.4718752290725,16,12.5,119,50,21.456886406350215,69,-6.295252827368668,18.38799000659729
matic,1041.6666666666665,674.0128877836004,16,13.0,113,47,23.19958101012776,66,-6.308597268066734,19.411571168167693
matic,1041.6666666666665,707.4385545770006,16,13.5,104,42,25.51312194209989,62,-5.872783338567662,20.37423037181762
matic,1041.6666666666665,694.8575114729879,16,14.0,99,41,25.739587800246987,58,-6.214923936847219,20.011896330422054
matic,1041.6666666666665,674.1327847624018,16,14.5,95,41,25.02353646412532,54,-6.515411301235866,19.415024201157173
matic,1041.6666666666665,679.8247024072177,16,15.0,88,39,25.36699094773876,49,-6.316080501114159,19.578951429327873
matic,1041.6666666666665,601.5261727054309,16,15.5,86,36,25.92852292552284,50,-6.638013052267826,17.32395377391641
